name,city,state,description,type
Makaha Elementary,Makaha,HI,Lights flicker at night and reports of hearing screams.,Ghost
Makaha Shereton golf club,Makaha,HI,at night  there are children walking and playing around the site of the pool  where they have died. You can feel them by your side and hear footsteps behind you when you're there a night,Ghost
Mokuleia Beach Park,O'ahu,HI,Reports that the Night Marchers have been seen there. Also  seen once  a rectangle of light as if from a window with the silhouette of a man sitting on a boulder outside of the first cabin across an empty field from the cafeteria. There is no boulder next to the cabin  just the empty field.,Ghost
Barber's Point,Honolulu,HI,It was reported once that a security guard at one of the gates to Barber's Point once saw a yellow Volkswagen parked off to the side of the road. He went to check out the car and found a young woman sleeping in the car. He tried to wake her but she wouldn't respond. He called in the license plate number and found out that the woman had died several years ago in that car near there. He was told that her ghost appears to greet new security guards.,Ghost
Morgan's Corner,Honolulu,HI,"""Fireballs"" of light pop up behind boulders and a silhouette of a boy hanging from a tree by his neck. - August 2004 update: reballs  it's hard to say if those pictures are actually fireballs  or a leak in the camera  altered digitally  or even just faulty processing. As for the Morgan’s corner story  this is an urban legend. Here's a local newspaper article mentioning that this is just an urband legend. The URL is: http://starbulletin.com/2000/10/12/features/story1.html But  the fireballs is actually a legend  there's numerous accounts of people seeing the fireballs  but like all ghost stories  none of it is a first person account. It's one of the Night Marchers  another Hawaiian Legend)",Ghost
The Drowning Pool  Waimea Falls Park (Oahu),North Shore,HI,"There is an old Hawaiian legend surrounding this location. It is said that there is an akua (ah-coo-wah)  or god in the pond at the bottom of the falls. On occasion it requires a human sacrifice and takes a ""victim""  drowns them  and keeps them underwater for a few days. the body is never found before the ""ceremony"" is done. Then about 3 days later  the body is found floating on top of the water.",Ghost
J Quad Building 846,Schofield Barracks,HI,Hearing mumbling voices  body paralyzed  and your can hear someone in the room with you laughing  pulling on your blankets. A lot of the rooms here are haunted by WWII soldiers  some ghost don't bother you but let you know they’re there by knocking on stuff walking around in the hallways  but some are evil and will show you that!,Ghost
Wheeler School Area,Wheeler,HI,Reports of a sinister force chasing and seemingly trying to trap people walking by.,Ghost
Sacred Birthstones,Wahiawa,HI,Outside this plantation town are ancient birthing stones where royalty would come to give birth. Any attempt to move these stones will prove fruitless. The stones make their way back to the area by themselves.,Ghost
Morningside College,Sioux City,IA,"Dimmit Hall - There is said to have been a girl that committed suicide on her hall on the girls side of the building. Her hall is called the ""hidden"" hall because the is no entrance to the outside so you have to go up a level or down a level to get out therefore leaving her trapped on her hall. It is said she committed suicide by hanging herself on old heating pipes in the rooms. Residents of her room have reported recently of hearing a girls voice and gagging choking sounds at night while they're studying. They've opened up their doors and yelled down the halls at their hall mates thinking it was a joke and no one was out there and the sounds continued. Other girls of the hall reported seeing a moderately dressed young woman walking slowly down the hall sniffling and crying and walking through the door into the haunted room.",Ghost
Iron Hill,Charles City,IA,"In these woods behind the old white farm there have been sightings of a little girl dressed in white  also various girls have been heard. Around Halloween you can hear faintly a chanting that is something like this  ""ring around the rosy..."" and ""wanna come burn with me"". Around 1920 there was a train car full of orphans that burned down on the railroad tracks that run through there. a burned rag doll has been found. They say it is there graveyard yet no family ties have been found.",Ghost
